From Date,To Date,Panel,Article Count,Post Count,Network Type
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Market Dominance,1027,1027,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Market Dominance,667,667,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Market Dominance,795,795,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Market Dominance,912,912,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Market Dominance,1066,1066,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Market Dominance,815,815,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Market Dominance,1995,1995,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Market Dominance,1112,1112,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Market Dominance,5201,5201,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Market Dominance,1398,1398,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Market Dominance,757,757,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Market Dominance,2132,2132,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Market Dominance,1036,1036,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Market Dominance,821,821,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Market Dominance,789,789,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Market Dominance,3610,3610,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Market Dominance,2721,2721,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Market Dominance,1189,1189,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Market Dominance,331,331,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Market Dominance,697,697,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Political Interference,1865,1865,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Political Interference,2399,2399,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Political Interference,1734,1734,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Political Interference,1790,1790,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Political Interference,1846,1846,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Political Interference,3634,3634,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Political Interference,2716,2716,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Political Interference,3528,3528,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Political Interference,3705,3705,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Political Interference,3523,3523,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Political Interference,10106,10106,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Political Interference,10821,10821,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Political Interference,6947,6947,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Political Interference,4224,4224,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Political Interference,9457,9457,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Political Interference,4401,4401,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Political Interference,5384,5384,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Political Interference,2835,2835,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Political Interference,2212,2212,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Political Interference,5292,5292,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Consorship,258,258,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Consorship,354,354,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Consorship,130,130,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Consorship,206,206,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Consorship,203,203,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Consorship,185,185,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Consorship,271,271,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Consorship,1524,1524,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Consorship,895,895,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Consorship,922,922,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Consorship,263,263,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Consorship,799,799,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Consorship,612,612,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Consorship,304,304,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Consorship,349,349,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Consorship,421,421,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Consorship,221,221,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Consorship,172,172,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Consorship,428,428,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Consorship,1152,1152,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Digital Divide,519,519,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Digital Divide,450,450,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Digital Divide,363,363,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Digital Divide,264,264,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Digital Divide,195,195,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Digital Divide,315,315,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Digital Divide,226,226,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Digital Divide,278,278,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Digital Divide,296,296,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Digital Divide,291,291,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Digital Divide,139,139,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Digital Divide,153,153,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Digital Divide,200,200,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Digital Divide,241,241,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Digital Divide,265,265,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Digital Divide,193,193,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Digital Divide,143,143,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Digital Divide,78,78,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Digital Divide,67,67,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Digital Divide,260,260,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Privacy,798,798,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Privacy,1488,1488,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Privacy,879,879,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Privacy,1544,1544,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Privacy,952,952,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Privacy,919,919,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Privacy,553,553,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Privacy,412,412,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Privacy,540,540,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Privacy,601,601,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Privacy,407,407,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Privacy,534,534,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Privacy,729,729,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Privacy,479,479,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Privacy,880,880,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Privacy,1446,1446,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Privacy,1965,1965,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Privacy,390,390,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Privacy,495,495,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Privacy,813,813,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Social Erosion,527,527,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Social Erosion,515,515,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Social Erosion,1009,1009,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Social Erosion,539,539,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Social Erosion,832,832,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Social Erosion,633,633,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Social Erosion,783,783,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Social Erosion,498,498,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Social Erosion,980,980,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Social Erosion,632,632,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Social Erosion,470,470,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Social Erosion,518,518,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Social Erosion,775,775,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Social Erosion,245,245,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Social Erosion,532,532,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Social Erosion,409,409,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Social Erosion,1081,1081,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Social Erosion,421,421,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Social Erosion,190,190,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Social Erosion,384,384,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Controversial Content,487,487,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Controversial Content,882,882,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Controversial Content,872,872,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Controversial Content,1193,1193,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Controversial Content,765,765,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Controversial Content,1365,1365,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Controversial Content,1867,1867,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Controversial Content,2011,2011,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Controversial Content,986,986,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Controversial Content,1401,1401,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Controversial Content,684,684,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Controversial Content,490,490,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Controversial Content,1132,1132,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Controversial Content,434,434,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Controversial Content,1673,1673,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Controversial Content,1405,1405,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Controversial Content,1094,1094,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Controversial Content,473,473,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Controversial Content,462,462,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Controversial Content,1549,1549,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Brand Safety,3,3,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Brand Safety,9,9,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Brand Safety,16,16,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Brand Safety,23,23,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Brand Safety,8,8,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Brand Safety,28,28,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Brand Safety,21,21,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Brand Safety,29,29,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Brand Safety,29,29,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Brand Safety,21,21,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Brand Safety,18,18,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Brand Safety,3,3,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Brand Safety,17,17,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Brand Safety,6,6,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Brand Safety,7,7,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Brand Safety,8,8,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Brand Safety,23,23,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Brand Safety,7,7,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Brand Safety,1,1,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Brand Safety,15,15,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Copyright,63,63,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Copyright,175,175,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Copyright,50,50,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Copyright,44,44,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Copyright,93,93,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Copyright,95,95,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Copyright,95,95,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Copyright,309,309,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Copyright,454,454,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Copyright,253,253,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Copyright,63,63,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Copyright,67,67,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Copyright,176,176,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Copyright,33,33,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Copyright,84,84,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Copyright,59,59,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Copyright,105,105,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Copyright,388,388,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Copyright,153,153,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Copyright,109,109,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Taxation,441,441,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Taxation,245,245,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Taxation,149,149,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Taxation,215,215,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Taxation,154,154,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Taxation,192,192,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Taxation,157,157,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Taxation,896,896,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Taxation,128,128,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Taxation,102,102,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Taxation,100,100,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Taxation,95,95,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Taxation,116,116,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Taxation,327,327,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Taxation,165,165,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Taxation,108,108,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Taxation,94,94,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Taxation,74,74,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Taxation,111,111,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Taxation,411,411,All Interactions
